model,language,mean_top1
intfloat/multilingual-e5-base,azeri,0.7920999999999999
intfloat/multilingual-e5-base,bosnian-mihanovich,0.761725
intfloat/multilingual-e5-base,bosnian-rwwad,0.7561
intfloat/multilingual-e5-base,chinese,0.529
intfloat/multilingual-e5-base,croatian,0.7516750000000001
intfloat/multilingual-e5-base,dutch,0.7276625
intfloat/multilingual-e5-base,english,0.7738249999999999
intfloat/multilingual-e5-base,french,0.6223375
intfloat/multilingual-e5-base,german,0.71245
intfloat/multilingual-e5-base,gujarati,0.6766
intfloat/multilingual-e5-base,hausa,0.581025
intfloat/multilingual-e5-base,indonesian,0.6767749999999999
intfloat/multilingual-e5-base,japanese,0.5544125000000001
intfloat/multilingual-e5-base,kannada,0.7745375
intfloat/multilingual-e5-base,khmer,0.65385
intfloat/multilingual-e5-base,kurdish,0.593675
intfloat/multilingual-e5-base,kyrgyz,0.7114
intfloat/multilingual-e5-base,lingala,0.53025
intfloat/multilingual-e5-base,lithuanian,0.6252375000000001
intfloat/multilingual-e5-base,macedonian,0.7301875000000001
intfloat/multilingual-e5-base,malayalam,0.78145
intfloat/multilingual-e5-base,moore,0.275625
intfloat/multilingual-e5-base,oromo,0.4938874999999999
intfloat/multilingual-e5-base,pashto,0.6106374999999999
intfloat/multilingual-e5-base,persian,0.7588874999999999
intfloat/multilingual-e5-base,portuguese,0.5057
intfloat/multilingual-e5-base,romanian,0.6698125
intfloat/multilingual-e5-base,serbian,0.7148000000000001
intfloat/multilingual-e5-base,spanish,0.66015
intfloat/multilingual-e5-base,tagalog,0.7146
intfloat/multilingual-e5-base,tajik,0.680175
intfloat/multilingual-e5-base,tamil,0.772775
intfloat/multilingual-e5-base,turkish,0.6724375
intfloat/multilingual-e5-base,urdu,0.7562625000000001
intfloat/multilingual-e5-base,uyghur,0.7052875000000001
intfloat/multilingual-e5-base,uzbek,0.5609500000000001
intfloat/multilingual-e5-base,vietnamese,0.587425
intfloat/multilingual-e5-base,yoruba,0.32928750000000007
BAAI/bge-m3,albanian,0.8486499999999999
BAAI/bge-m3,asante,0.3192625
BAAI/bge-m3,assamese,0.8199625000000001
BAAI/bge-m3,azeri,0.8486999999999998
BAAI/bge-m3,bosnian-mihanovich,0.8498625000000001
BAAI/bge-m3,bosnian-rwwad,0.8492000000000001
BAAI/bge-m3,chinese,0.7715375
BAAI/bge-m3,croatian,0.8484625000000001
BAAI/bge-m3,dutch,0.8434999999999999
BAAI/bge-m3,english,0.8592000000000001
BAAI/bge-m3,french,0.7988875
BAAI/bge-m3,german,0.848725
BAAI/bge-m3,gujarati,0.8237375
BAAI/bge-m3,hausa,0.7249874999999999
BAAI/bge-m3,indonesian,0.8605625
BAAI/bge-m3,japanese,0.81075
BAAI/bge-m3,kannada,0.8433875000000001
BAAI/bge-m3,khmer,0.819875
BAAI/bge-m3,kurdish,0.34135
BAAI/bge-m3,kyrgyz,0.8114250000000001
BAAI/bge-m3,lingala,0.59085
BAAI/bge-m3,lithuanian,0.833675
BAAI/bge-m3,macedonian,0.846675
BAAI/bge-m3,malayalam,0.8490249999999999
BAAI/bge-m3,moore,0.0510625
BAAI/bge-m3,oromo,0.5790624999999999
BAAI/bge-m3,pashto,0.7823
BAAI/bge-m3,persian,0.859
BAAI/bge-m3,portuguese,0.8435
BAAI/bge-m3,romanian,0.8507374999999999
BAAI/bge-m3,serbian,0.8515
BAAI/bge-m3,spanish,0.8184625000000001
BAAI/bge-m3,tagalog,0.7833125
BAAI/bge-m3,tajik,0.7052375
BAAI/bge-m3,tamil,0.8408750000000002
BAAI/bge-m3,turkish,0.8401500000000001
BAAI/bge-m3,urdu,0.8415750000000001
BAAI/bge-m3,uyghur,0.7988500000000001
BAAI/bge-m3,uzbek,0.7869125
BAAI/bge-m3,vietnamese,0.8249749999999999
BAAI/bge-m3,yoruba,0.37596250000000003
