language,en_bpe_tok_per_verse,multi_bpe_tok_per_verse,bytes_per_verse,ratio_vs_english,ratio_vs_arabic
khmer,523.8803720333547,134.87812700449007,523.9307248236049,17.72916621442681,2.4576597857486755
malayalam,508.0832264271969,136.98412443874278,514.5822642719692,17.19455901187401,2.383551245787193
tamil,499.6100064143682,134.13518280949327,500.6125721616421,16.907808192415395,2.3438011555127587
kannada,400.1686978832585,106.18120590121873,401.9520525978191,13.542514164152214,1.8772959797785267
assamese,387.9344130853111,102.7771007055805,390.20846696600387,13.128481342392604,1.8199017513240252
gujarati,365.1954778704298,93.29890955740859,365.25208466966006,12.358950007597631,1.7132274614829082
uyghur,337.3446119307248,49.84188582424631,338.4244708146248,11.416420648186337,1.5825717681752527
tajik,281.19371391917895,49.10856318152662,283.45141116100064,9.516161243406343,1.3191532258064516
kyrgyz,275.90811417575367,46.6197883258499,277.32985888389993,9.33728590965333,1.2943570955705344
kurdish,263.07825529185374,44.262026940346374,263.0813021167415,8.903097662100853,1.2341688733750602
japanese,248.6048749198204,50.73300192431046,248.65779345734444,8.41328933944038,1.1662704622051034
persian,246.79329698524694,50.11754329698525,251.3661000641437,8.351981895934182,1.157771876504574
uzbek,230.95525978191148,34.789127645926875,231.08258499037845,7.815990839429527,1.0834715033702456
urdu,230.40795381654908,43.03383579217447,230.85551635663887,7.797468903987671,1.0809039480019258
macedonian,224.48829377806285,39.660519563822966,227.5639833226427,7.597135693663577,1.0531332751564757
arabic_source,213.16228351507377,88.89913406029505,213.16244387427838,7.2138407102698245,1.0
pashto,211.96295702373317,41.24326491340603,212.00497113534317,7.173253087893721,0.9943736458834859
serbian,207.48107761385504,37.42623476587556,208.9642398973701,7.021577267892417,0.9733479778526721
yoruba,193.91196279666454,91.32200128287364,235.0779345734445,6.56237111164174,0.9096917128069332
vietnamese,183.89143681847338,50.814624759461196,238.64384220654264,6.223256344020665,0.8626828057294175
chinese,117.98588838999359,31.6144964720975,119.2325208466966,3.9928799357457616,0.5535026480500722
azeri,112.2386144964721,39.320397690827456,155.95381654906993,3.7983806195324203,0.5265406836783822
lithuanian,111.80355997434253,54.35583707504811,182.07440667094292,3.783657498860356,0.5244997291766972
asante,98.99374599101988,43.30388069275176,152.35551635663887,3.3501476110881976,0.46440554285026475
moore,96.90602950609365,42.378287363694675,139.3489416292495,3.279495083248312,0.4546115190178141
albanian,93.33466966003849,42.07552918537524,148.39977549711352,3.1586330779082643,0.4378573363023592
indonesian,92.58274534958306,43.48155869146889,181.34300833867863,3.133186445828901,0.4343298627828599
romanian,89.9607119948685,44.300833867864014,154.96728672225785,3.044451559684807,0.4220292188252287
tagalog,88.06799230275819,42.7945798588839,170.53688261706222,2.9803981157878745,0.41314997592681757
hausa,85.98749198203977,40.608402822322,145.5025657472739,2.909989797468904,0.40338980500722194
turkish,85.74326491340602,37.91244387427838,140.08883899935856,2.9017246619054853,0.40224407197881556
spanish,84.48412443874278,47.918056446440026,170.34813983322644,2.8591128139449062,0.3963371148290804
oromo,79.28896728672225,38.046023091725466,140.18024374599102,2.683298239520698,0.3719652744342802
lingala,76.80452212957023,34.532552918537526,134.01250801796024,2.5992196149087197,0.3603100926817525
german,76.76250801796023,41.2132777421424,150.67190506735088,2.5977977728091695,0.36011299350024073
french,76.7472738935215,46.58258499037845,164.07504810776138,2.5972822193761265,0.3600415262397689
dutch,73.57536882617062,42.27950609364977,161.09220654265556,2.489938567738294,0.34516129032258064
bosnian-mihanovich,72.60856318152662,33.537524053880695,121.65266196279667,2.4572199188139017,0.34062575228695235
bosnian-rwwad,72.10038486209109,33.41484926234766,122.19916613213599,2.44002214166323,0.3382417549350024
croatian,71.78399615137909,33.443232841565106,121.8234445157152,2.429314910890659,0.33675749277804523
portuguese,67.56366260423349,39.68954457985888,132.33098139833226,2.2864903293029717,0.31695880476649013
english,29.549069916613213,36.84493264913406,132.9695317511225,1.0,0.13862241213288395
