language,encoder,pct_over_cap,p99_len,cap
turkish,bgem3,0.0,129,8192
urdu,labse,0.016035920461834507,145,256
urdu,mpnet,1.731879409878127,143,128
urdu,e5,0.0,143,512
urdu,bgem3,0.0,143,8192
uyghur,labse,0.3207184092366902,203,256
uyghur,mpnet,6.783194355355997,215,128
uyghur,e5,0.016035920461834507,215,512
uyghur,bgem3,0.0,215,8192
uzbek,labse,0.06414368184733803,150,256
uzbek,mpnet,5.131494547787043,196,128
uzbek,e5,0.0,196,512
uzbek,bgem3,0.0,196,8192
vietnamese,labse,0.14432328415651058,173,256
vietnamese,mpnet,4.23348300192431,184,128
vietnamese,e5,0.0,184,512
vietnamese,bgem3,0.0,184,8192
yoruba,labse,2.245028864656831,319,256
yoruba,mpnet,20.38165490699166,333,128
yoruba,e5,0.06414368184733803,333,512
yoruba,bgem3,0.0,333,8192
