encoder,top1,top1_lo,top1_hi,mrr,mrr_lo,mrr_hi
bge-m3,0.7584323170731708,0.7460962195121951,0.7708277134146341,0.8029314383939036,0.7913933646655807,0.8143115011256336
LaBSE,0.6979286585365854,0.6812403048780489,0.7148034146341463,0.7350878616733062,0.7188950043449146,0.7510749583569524
multilingual-e5-base,0.6512749999999999,0.641590106707317,0.6608348323170731,0.7240846312294487,0.7155101679435336,0.73250428328854
paraphrase-multilingual-mpnet-base-v2,0.3167719512195122,0.3022221798780488,0.3315653201219513,0.36749397695936664,0.35180198323868955,0.3831724020266907
